iter	Passed	Remaining
0	137	137327
1	139	69733
2	142	47203
3	144	35971
4	146	29173
5	148	24641
6	150	21385
7	152	18911
8	154	16958
9	155	15428
10	157	14166
11	159	13151
12	161	12294
13	165	11687
14	168	11043
15	169	10448
16	171	9914
17	173	9462
18	175	9040
19	176	8657
20	178	8313
21	179	8000
22	181	7720
23	183	7456
24	184	7208
25	186	6999
26	188	6791
27	190	6600
28	191	6418
29	193	6247
30	194	6089
31	196	5937
32	197	5798
33	199	5665
34	200	5538
35	202	5418
36	204	5312
37	205	5210
38	207	5105
39	208	5007
40	210	4917
41	212	4840
42	213	4761
43	215	4686
44	217	4614
45	219	4545
46	221	4486
47	223	4435
48	225	4372
49	227	4321
50	228	4260
51	230	4203
52	232	4146
53	233	4091
54	235	4039
55	236	3986
56	237	3937
57	239	3888
58	241	3844
59	242	3803
60	244	3758
61	245	3719
62	247	3678
63	248	3639
64	250	3601
65	251	3564
66	253	3530
67	254	3487
68	256	3454
69	257	3424
70	259	3392
71	260	3361
72	262	3332
73	263	3302
74	265	3272
75	266	3243
76	268	3217
77	270	3195
78	271	3169
79	273	3146
80	275	3121
81	276	3097
82	278	3074
83	279	3050
84	280	3022
85	282	3000
86	283	2972
87	285	2954
88	286	2936
89	288	2916
90	289	2896
91	291	2877
92	293	2858
93	294	2839
94	296	2821
95	297	2804
96	299	2788
97	301	2775
98	303	2761
99	304	2744
100	306	2729
101	307	2708
102	309	2694
103	311	2679
104	312	2663
105	313	2647
106	315	2633
107	317	2620
108	318	2607
109	320	2591
110	321	2576
111	323	2562
112	324	2547
113	325	2532
114	327	2518
115	328	2503
116	330	2491
117	331	2480
118	333	2466
119	334	2452
120	335	2439
121	337	2426
122	337	2408
123	339	2396
124	340	2383
125	341	2370
126	343	2359
127	343	2343
128	345	2334
129	347	2324
130	348	2314
131	350	2303
132	351	2292
133	352	2280
134	354	2270
135	355	2259
136	357	2249
137	358	2237
138	359	2227
139	361	2218
140	363	2212
141	364	2202
142	365	2191
143	367	2181
144	368	2172
145	369	2162
146	371	2152
147	372	2143
148	373	2133
149	375	2125
150	376	2119
151	378	2113
152	380	2105
153	382	2099
154	383	2091
155	385	2085
156	387	2078
157	388	2071
158	390	2064
159	391	2057
160	393	2049
161	394	2041
162	395	2033
163	397	2026
164	399	2019
165	400	2013
166	402	2005
167	403	1998
168	405	1991
169	406	1986
170	408	1978
171	409	1972
172	411	1964
173	412	1957
174	413	1949
175	414	1942
176	416	1935
177	417	1928
178	419	1922
179	421	1917
180	422	1910
181	423	1903
182	424	1896
183	426	1889
184	427	1883
185	428	1876
186	430	1870
187	431	1863
188	432	1856
189	433	1849
190	435	1845
191	437	1840
192	438	1834
193	439	1827
194	441	1822
195	442	1816
196	444	1809
197	445	1803
198	446	1798
199	448	1792
200	449	1787
201	451	1782
202	452	1777
203	454	1771
204	455	1766
205	456	1759
206	458	1754
207	459	1749
208	460	1743
209	462	1738
210	463	1734
211	465	1730
212	467	1726
213	468	1720
214	469	1715
